checkpoint,q,attack,timing,rho,statistic,detected,trials,rate
all,256,sample_null,known_coordinates,0.02,energy,66,2304,0.028645833333333332
all,256,sample_null,known_coordinates,0.02,spike,21,2304,0.009114583333333334
all,256,sample_null,known_coordinates,0.05,combined,70,2304,0.030381944444444444
all,256,sample_null,known_coordinates,0.05,directional,5,2304,0.002170138888888889
all,256,sample_null,known_coordinates,0.05,energy,66,2304,0.028645833333333332
all,256,sample_null,known_coordinates,0.05,spike,21,2304,0.009114583333333334
all,256,sample_null,known_coordinates,0.1,combined,70,2304,0.030381944444444444
all,256,sample_null,known_coordinates,0.1,directional,5,2304,0.002170138888888889
all,256,sample_null,known_coordinates,0.1,energy,66,2304,0.028645833333333332
all,256,sample_null,known_coordinates,0.1,spike,21,2304,0.009114583333333334
all,256,sample_null,post_commit,0.002,combined,74,2304,0.03211805555555555
all,256,sample_null,post_commit,0.002,directional,5,2304,0.002170138888888889
all,256,sample_null,post_commit,0.002,energy,70,2304,0.030381944444444444
all,256,sample_null,post_commit,0.002,spike,22,2304,0.009548611111111112
all,256,sample_null,post_commit,0.005,combined,93,2304,0.040364583333333336
all,256,sample_null,post_commit,0.005,directional,5,2304,0.002170138888888889
all,256,sample_null,post_commit,0.005,energy,88,2304,0.03819444444444445
all,256,sample_null,post_commit,0.005,spike,25,2304,0.010850694444444444
all,256,sample_null,post_commit,0.01,combined,171,2304,0.07421875
all,256,sample_null,post_commit,0.01,directional,11,2304,0.004774305555555556
all,256,sample_null,post_commit,0.01,energy,164,2304,0.07118055555555555
all,256,sample_null,post_commit,0.01,spike,23,2304,0.009982638888888888
all,256,sample_null,post_commit,0.02,combined,933,2304,0.4049479166666667
all,256,sample_null,post_commit,0.02,directional,179,2304,0.07769097222222222
all,256,sample_null,post_commit,0.02,energy,772,2304,0.3350694444444444
all,256,sample_null,post_commit,0.02,spike,38,2304,0.016493055555555556
all,256,sample_null,post_commit,0.05,combined,2304,2304,1.0
all,256,sample_null,post_commit,0.05,directional,896,2304,0.3888888888888889
all,256,sample_null,post_commit,0.05,energy,2304,2304,1.0
all,256,sample_null,post_commit,0.05,spike,100,2304,0.043402777777777776
all,256,sample_null,post_commit,0.1,combined,2304,2304,1.0
all,256,sample_null,post_commit,0.1,directional,1483,2304,0.6436631944444444
all,256,sample_null,post_commit,0.1,energy,2304,2304,1.0
all,256,sample_null,post_commit,0.1,spike,487,2304,0.2113715277777778
all,256,sparse_16,post_commit,0.002,combined,75,2304,0.032552083333333336
all,256,sparse_16,post_commit,0.002,directional,5,2304,0.002170138888888889
