run_id,seed,workload,alpha,beta,policy,task_id,candidate_count,feasible_count,selected_candidate,selected_group_size,selected_sketch,admitted,latency_s,goodput_contrib,challenge_ms_task,false_risk,infeasible,low_risk,reason
a_min_000094,20260513,single,0.05,0.9,random,eval_094,13,11,cand_lan_a_d,3,scalar16,1,0.9767,1,0.360349,0.009,1,0,random_scalar16
a_min_000095,20260513,single,0.05,0.9,random,eval_095,13,11,cand_wan_a_b,3,scalar16,1,1.03519,1,0.360349,0.015,1,0,random_scalar16
a_min_000096,20260513,single,0.05,0.9,random,eval_096,13,11,cand_wan_b_d,3,scalar16,1,1.10203,1,0.360349,0.0245,1,0,random_scalar16
a_min_000097,20260513,single,0.05,0.9,random,eval_097,13,11,cand_lan_b_d,3,scalar16,1,1.01219,1,0.360349,0.0245,1,0,random_scalar16
a_min_000098,20260513,single,0.05,0.9,random,eval_098,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05361,1,0.360349,0.0155,1,0,random_scalar16
a_min_000099,20260513,single,0.05,0.9,random,eval_099,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05343,1,0.360349,0.0155,1,0,random_scalar16
a_min_000100,20260513,single,0.05,0.9,random,eval_100,13,11,cand_wan_e_f,3,scalar16,1,1.0183,1,0.360349,0.0165,1,0,random_scalar16
a_min_000101,20260513,single,0.05,0.9,random,eval_101,13,11,cand_wan_a_d,3,scalar16,1,1.06789,1,0.360349,0.009,1,0,random_scalar16
a_min_000102,20260513,single,0.05,0.9,random,eval_102,13,11,cand_lan_a_c,3,scalar16,1,0.99287,1,0.360349,0.011,1,0,random_scalar16
a_min_000103,20260513,single,0.05,0.9,random,eval_103,13,11,cand_lan_a_d,3,scalar16,1,0.97589,1,0.360349,0.009,1,0,random_scalar16
a_min_000104,20260513,single,0.05,0.9,random,eval_104,13,11,cand_lan_a_c,3,scalar16,1,0.99269,1,0.360349,0.011,1,0,random_scalar16
a_min_000105,20260513,single,0.05,0.9,random,eval_105,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05118,1,0.360349,0.0155,1,0,random_scalar16
a_min_000106,20260513,single,0.05,0.9,random,eval_106,13,11,cand_wan_a_b,3,scalar16,1,1.03402,1,0.360349,0.015,1,0,random_scalar16
a_min_000107,20260513,single,0.05,0.9,random,eval_107,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05298,1,0.360349,0.0155,1,0,random_scalar16
a_min_000108,20260513,single,0.05,0.9,random,eval_108,13,11,cand_wan_e_f,3,scalar16,1,1.0192,1,0.360349,0.0165,1,0,random_scalar16
a_min_000109,20260513,single,0.05,0.9,random,eval_109,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.96062,1,0.360349,0.0155,1,0,random_scalar16
a_min_000110,20260513,single,0.05,0.9,random,eval_110,13,11,cand_lan_b_d,3,scalar16,1,1.00949,1,0.360349,0.0245,1,0,random_scalar16
a_min_000111,20260513,single,0.05,0.9,random,eval_111,13,11,cand_wan_a_d,3,scalar16,1,1.06798,1,0.360349,0.009,1,0,random_scalar16
a_min_000112,20260513,single,0.05,0.9,random,eval_112,13,11,cand_wan_a_c,3,scalar16,1,1.08496,1,0.360349,0.011,1,0,random_scalar16
a_min_000113,20260513,single,0.05,0.9,random,eval_113,13,11,cand_wan_b_d,3,scalar16,1,1.10158,1,0.360349,0.0245,1,0,random_scalar16
a_min_000114,20260513,single,0.05,0.9,random,eval_114,13,11,cand_wan_a_c,3,scalar16,1,1.08478,1,0.360349,0.011,1,0,random_scalar16
a_min_000115,20260513,single,0.05,0.9,random,eval_115,13,11,cand_lan_a_c,3,scalar16,1,0.99287,1,0.360349,0.011,1,0,random_scalar16
a_min_000116,20260513,single,0.05,0.9,random,eval_116,13,11,cand_wan_a_b,3,scalar16,1,1.03411,1,0.360349,0.015,1,0,random_scalar16
a_min_000117,20260513,single,0.05,0.9,random,eval_117,13,11,cand_wan_e_f,3,scalar16,1,1.01947,1,0.360349,0.0165,1,0,random_scalar16
a_min_000118,20260513,single,0.05,0.9,random,eval_118,13,11,cand_homo_ff,1,scalar16,1,1.21729,1,0.360349,0.0,0,1,random_scalar16
