pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,scale_perturbation,material_tamper,0.1,200,0.26,0.26,0,0,,no_logits_or_output_in_capture,C2,6.851348
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,scale_perturbation,material_tamper,0.15,200,0.37,0.37,0,0,,no_logits_or_output_in_capture,C2,6.774764
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,scale_perturbation,material_tamper,0.2,200,0.455,0.455,0,0,,no_logits_or_output_in_capture,C2,6.763152
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,gaussian,statistical_tamper,0.01,200,0.795,0.795,0,0,,no_logits_or_output_in_capture,C2,6.855275
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,gaussian,statistical_tamper,0.02,200,0.99,0.99,0,0,,no_logits_or_output_in_capture,C2,6.862276
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.872155
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.852034
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.839477
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,6.903859
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,scale_perturbation,material_tamper,0.01,200,0.15,0.15,0,0,,no_logits_or_output_in_capture,C2,6.726853
