pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos16,projcos,layer_skip,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.811126
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,gaussian,statistical_tamper,0.15,200,16,64,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.664829
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,200,16,64,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.664829
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,200,16,64,0.645,0.645,0,0,,no_logits_or_output_in_capture,C2,1.664829
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,wrong_shard_output,material_tamper,,200,16,64,0.645,0.645,0,0,,no_logits_or_output_in_capture,C2,1.664829
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,scale_perturbation,material_tamper,0.15,200,16,64,0.355,0.355,0,0,,no_logits_or_output_in_capture,C2,1.664829
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar16,scalar,layer_skip,material_tamper,,200,16,64,0.585,0.585,0,0,,no_logits_or_output_in_capture,C2,1.664829
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,gaussian,statistical_tamper,0.15,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.563295
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,same_prompt_old_run_replay,material_tamper,,200,64,256,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.563295
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,cross_prompt_stale_substitution,material_tamper,,200,64,256,0.875,0.875,0,0,,no_logits_or_output_in_capture,C2,1.563295
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,wrong_shard_output,material_tamper,,200,64,256,0.875,0.875,0,0,,no_logits_or_output_in_capture,C2,1.563295
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,scale_perturbation,material_tamper,0.15,200,64,256,0.93,0.93,0,0,,no_logits_or_output_in_capture,C2,1.563295
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,scalar64,scalar,layer_skip,material_tamper,,200,64,256,0.98,0.98,0,0,,no_logits_or_output_in_capture,C2,1.563295
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,gaussian,statistical_tamper,0.15,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.854097
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,same_prompt_old_run_replay,material_tamper,,200,64,256,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.854097
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,cross_prompt_stale_substitution,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.854097
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,wrong_shard_output,material_tamper,,200,64,256,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.854097
t4strict_pair_a_vs_c_40_200,stack_a_vs_stack_c,projcos4,projcos,scale_perturbation,material_tamper,0.15,200,64,256,0.0,0.0,0,0,,no_logits_or_output_in_capture,,1.854097
