pair_id,pair_label,variant,family,prompt_id,checkpoint,gap_metric,gap_value,threshold,over_threshold
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_099,C2,mean_projected_cosine_gap,0.000147382,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_099,C3,mean_projected_cosine_gap,0.00025202,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_100,C1,mean_projected_cosine_gap,3.5064e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_100,C2,mean_projected_cosine_gap,0.000147348,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_100,C3,mean_projected_cosine_gap,0.000109494,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_101,C1,mean_projected_cosine_gap,7.3373e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_101,C2,mean_projected_cosine_gap,0.000131622,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_101,C3,mean_projected_cosine_gap,6.1661e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_102,C1,mean_projected_cosine_gap,2.5928e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_102,C2,mean_projected_cosine_gap,0.000100434,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_102,C3,mean_projected_cosine_gap,4.4644e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_103,C1,mean_projected_cosine_gap,2.3105e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_103,C2,mean_projected_cosine_gap,0.000129944,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_103,C3,mean_projected_cosine_gap,2.6112e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_104,C1,mean_projected_cosine_gap,4.1301e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_104,C2,mean_projected_cosine_gap,0.000119182,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_104,C3,mean_projected_cosine_gap,5.2105e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_105,C1,mean_projected_cosine_gap,5.0193e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_105,C2,mean_projected_cosine_gap,9.2355e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_105,C3,mean_projected_cosine_gap,4.7283e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_106,C1,mean_projected_cosine_gap,2.9819e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_106,C2,mean_projected_cosine_gap,0.000118944,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_106,C3,mean_projected_cosine_gap,4.8735e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_107,C1,mean_projected_cosine_gap,2.7454e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_107,C2,mean_projected_cosine_gap,0.00014085,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_107,C3,mean_projected_cosine_gap,4.6329e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_108,C1,mean_projected_cosine_gap,7.7617e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_108,C2,mean_projected_cosine_gap,8.0017e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_108,C3,mean_projected_cosine_gap,7.5805e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_109,C1,mean_projected_cosine_gap,2.4986e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_109,C2,mean_projected_cosine_gap,7.4796e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_109,C3,mean_projected_cosine_gap,2.6039e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_110,C1,mean_projected_cosine_gap,1.8445e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_110,C2,mean_projected_cosine_gap,5.7464e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_110,C3,mean_projected_cosine_gap,2.919e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_111,C1,mean_projected_cosine_gap,6.8475e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_111,C2,mean_projected_cosine_gap,8.5061e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_111,C3,mean_projected_cosine_gap,3.0469e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_112,C1,mean_projected_cosine_gap,2.9926e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_112,C2,mean_projected_cosine_gap,0.00015371,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_112,C3,mean_projected_cosine_gap,4.0775e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_113,C1,mean_projected_cosine_gap,5.9652e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_113,C2,mean_projected_cosine_gap,0.000190479,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_113,C3,mean_projected_cosine_gap,3.466e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_114,C1,mean_projected_cosine_gap,1.8257e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_114,C2,mean_projected_cosine_gap,7.1973e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_114,C3,mean_projected_cosine_gap,2.5779e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_115,C1,mean_projected_cosine_gap,0.000134516,8.9418e-05,1
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_115,C2,mean_projected_cosine_gap,0.000141931,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_115,C3,mean_projected_cosine_gap,3.2079e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_116,C1,mean_projected_cosine_gap,2.4426e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_116,C2,mean_projected_cosine_gap,6.9314e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_116,C3,mean_projected_cosine_gap,1.9819e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_117,C1,mean_projected_cosine_gap,3.3604e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_117,C2,mean_projected_cosine_gap,0.0001006,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_117,C3,mean_projected_cosine_gap,3.9867e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_118,C1,mean_projected_cosine_gap,3.4724e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_118,C2,mean_projected_cosine_gap,9.2166e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_118,C3,mean_projected_cosine_gap,5.2384e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_119,C1,mean_projected_cosine_gap,3.6751e-05,8.9418e-05,0
