variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,reference_storage_head_bytes,candidate_working_set_head_bytes,challenge_working_set_head_bytes,challenge_working_set_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_no_commit_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
projcos4,projcos,tamper,eval_161,checkpoint_specific,99.0,1.5,64,256,768,102359,102359,2132,32,96,103425,103425,207071,207135,1.565209,1.49125,0.197292,0.182417,0.033667,3.272543,3.469835,1,prefill,C2,189
projcos4,projcos,tamper,eval_162,checkpoint_specific,99.0,1.5,64,256,768,110073,110073,2132,32,96,111139,111139,222499,222563,1.609833,1.554125,0.213167,0.190875,0.034833,3.389666,3.602833,1,prefill,C2,189
projcos4,projcos,tamper,eval_163,checkpoint_specific,99.0,1.5,64,256,768,94753,94753,2132,32,96,95819,95819,191859,191923,1.565042,1.589291,0.197292,0.180416,0.032417,3.367166,3.564458,1,prefill,C2,189
projcos4,projcos,tamper,eval_164,checkpoint_specific,99.0,1.5,64,256,768,94714,94714,2132,32,96,95780,95780,191781,191845,1.632541,1.627041,0.203541,0.18275,0.032709,3.475041,3.678582,1,prefill,C2,189
projcos4,projcos,tamper,eval_165,checkpoint_specific,99.0,1.5,64,256,768,94710,94710,2132,32,96,95776,95776,191773,191837,1.547917,1.488125,0.186708,0.179125,0.031458,3.246625,3.433333,1,prefill,C2,189
projcos4,projcos,tamper,eval_166,checkpoint_specific,99.0,1.5,64,256,768,94768,94768,2132,32,96,95834,95834,191889,191953,1.567792,1.609583,0.192625,0.166167,0.030416,3.373958,3.566583,1,prefill,C2,189
projcos4,projcos,tamper,eval_167,checkpoint_specific,99.0,1.5,64,256,768,125421,125421,2132,32,96,126487,126487,253195,253259,1.748333,1.7075,0.203041,0.178834,0.030542,3.665209,3.86825,1,prefill,C2,189
projcos4,projcos,tamper,eval_168,checkpoint_specific,99.0,1.5,64,256,768,125426,125426,2132,32,96,126492,126492,253205,253269,1.689417,1.654708,0.204375,0.186667,0.032084,3.562876,3.767251,1,prefill,C2,189
projcos4,projcos,tamper,eval_169,checkpoint_specific,99.0,1.5,64,256,768,125488,125488,2132,32,96,126554,126554,253329,253393,1.794375,1.621625,0.2175,0.192667,0.034959,3.643626,3.861126,1,prefill,C2,189
projcos4,projcos,tamper,eval_170,checkpoint_specific,99.0,1.5,64,256,768,94781,94781,2132,32,96,95847,95847,191915,191979,1.547917,1.525167,0.190959,0.165,0.032167,3.270251,3.46121,1,prefill,C2,189
