mode_id,p_a,d,m,D_single,D_m,meets_single_target,meets_persistent_target
V0_passive,0.01,0.95,50,0.0095,0.3795254200234526,False,False
V0_passive,0.02,0.95,50,0.019,0.6167780565554349,False,False
V0_passive,0.05,0.95,50,0.0475,0.9122495772570289,False,False
V0_passive,0.1,0.95,50,0.095,0.9932012517464861,False,True
V0_passive,0.2,0.95,50,0.19,0.9999734386011124,False,True
V0_passive,0.5,0.95,50,0.475,0.9999999999999898,False,True
V0_passive,1.0,0.95,50,0.95,1.0,False,True
V0_passive,0,0.95,100,0.0,0.0,False,False
V0_passive,0.001,0.95,100,0.00095,0.09066812606606656,False,False
V0_passive,0.002,0.95,100,0.0019,0.17319030801592272,False,False
V0_passive,0.005,0.95,100,0.00475,0.3788183390835833,False,False
V0_passive,0.01,0.95,100,0.0095,0.615011295602927,False,False
V0_passive,0.02,0.95,100,0.019,0.8531409420625706,False,False
V0_passive,0.05,0.95,100,0.0475,0.9922998633084299,False,True
V0_passive,0.1,0.95,100,0.095,0.9999537770221854,False,True
V0_passive,0.2,0.95,100,0.19,0.9999999992944921,False,True
V0_passive,0.5,0.95,100,0.475,1.0,False,True
V0_passive,1.0,0.95,100,0.95,1.0,False,True
V0_passive,0,0.99,1,0.0,0.0,False,False
V0_passive,0.001,0.99,1,0.00099,0.0009900000000000464,False,False
V0_passive,0.002,0.99,1,0.00198,0.0019799999999999818,False,False
V0_passive,0.005,0.99,1,0.00495,0.00495000000000001,False,False
V0_passive,0.01,0.99,1,0.0099,0.00990000000000002,False,False
V0_passive,0.02,0.99,1,0.0198,0.01980000000000004,False,False
V0_passive,0.05,0.99,1,0.0495,0.04949999999999999,False,False
V0_passive,0.1,0.99,1,0.099,0.09899999999999998,False,False
V0_passive,0.2,0.99,1,0.198,0.19799999999999995,False,False
V0_passive,0.5,0.99,1,0.495,0.495,False,False
V0_passive,1.0,0.99,1,0.99,0.99,True,True
V0_passive,0,0.99,5,0.0,0.0,False,False
V0_passive,0.001,0.99,5,0.00099,0.004940208698188231,False,False
V0_passive,0.002,0.99,5,0.00198,0.009860873547102633,False,False
V0_passive,0.005,0.99,5,0.00495,0.024506184874859338,False,False
V0_passive,0.01,0.99,5,0.0099,0.048529555055298546,False,False
V0_passive,0.02,0.99,5,0.0198,0.09515645848636034,False,False
V0_passive,0.05,0.99,5,0.0495,0.22418065230907802,False,False
V0_passive,0.1,0.99,5,0.099,0.40622220189549896,False,False
V0_passive,0.2,0.99,5,0.198,0.6682034687359679,False,False
V0_passive,0.5,0.99,5,0.495,0.967155935934375,False,False
V0_passive,1.0,0.99,5,0.99,0.9999999999,True,True
V0_passive,0,0.99,10,0.0,0.0,False,False
V0_passive,0.001,0.99,10,0.00099,0.009856011734394765,False,False
V0_passive,0.002,0.99,10,0.00198,0.01962451026709333,False,False
V0_passive,0.005,0.99,10,0.00495,0.04841181665259797,False,False
V0_passive,0.01,0.99,10,0.0099,0.094703992396732,False,False
V0_passive,0.02,0.99,10,0.0198,0.18125816538105421,False,False
V0_passive,0.05,0.99,10,0.0495,0.3981043397484324,False,False
V0_passive,0.1,0.99,10,0.099,0.6474279264781704,False,False
V0_passive,0.2,0.99,10,0.198,0.8899110618411562,False,False
V0_passive,0.5,0.99,10,0.495,0.9989212674556531,False,True
V0_passive,1.0,0.99,10,0.99,1.0,True,True
V0_passive,0,0.99,50,0.0,0.0,False,False
V0_passive,0.001,0.99,50,0.00099,0.048318176135192625,False,False
V0_passive,0.002,0.99,50,0.00198,0.09434617681075241,False,False
V0_passive,0.005,0.99,50,0.00495,0.21972947420784694,False,False
V0_passive,0.01,0.99,50,0.0099,0.391930772624957,False,False
V0_passive,0.02,0.99,50,0.0198,0.6320956618679943,False,False
V0_passive,0.05,0.99,50,0.0495,0.9210038255746062,False,False
V0_passive,0.1,0.99,50,0.099,0.9945519692653211,False,True
V0_passive,0.2,0.99,50,0.198,0.9999838296874536,False,True
V0_passive,0.5,0.99,50,0.495,0.9999999999999986,False,True
V0_passive,1.0,0.99,50,0.99,1.0,True,True
V0_passive,0,0.99,100,0.0,0.0,False,False
V0_passive,0.001,0.99,100,0.00099,0.09430170612535371,False,False
V0_passive,0.002,0.99,100,0.00198,0.17979115254269906,False,False
V0_passive,0.005,0.99,100,0.00495,0.39117790658003704,False,False
V0_passive,0.01,0.99,100,0.0099,0.6302518147195183,False,False
V0_passive,0.02,0.99,100,0.0198,0.8646463979836507,False,False
V0_passive,0.05,0.99,100,0.0495,0.9937596044261527,False,True
V0_passive,0.1,0.99,100,0.099,0.999970318961114,False,True
V0_passive,0.2,0.99,100,0.198,0.9999999997385209,False,True
V0_passive,0.5,0.99,100,0.495,1.0,False,True
V0_passive,1.0,0.99,100,0.99,1.0,True,True
V0_passive,0,1.0,1,0.0,0.0,False,False
V0_passive,0.001,1.0,1,0.001,0.0010000000000000009,False,False
V0_passive,0.002,1.0,1,0.002,0.0020000000000000018,False,False
V0_passive,0.005,1.0,1,0.005,0.0050000000000000044,False,False
V0_passive,0.01,1.0,1,0.01,0.010000000000000009,False,False
V0_passive,0.02,1.0,1,0.02,0.020000000000000018,False,False
V0_passive,0.05,1.0,1,0.05,0.050000000000000044,False,False
V0_passive,0.1,1.0,1,0.1,0.09999999999999998,False,False
V0_passive,0.2,1.0,1,0.2,0.19999999999999996,False,False
V0_passive,0.5,1.0,1,0.5,0.5,False,False
V0_passive,1.0,1.0,1,1.0,1.0,True,True
V0_passive,0,1.0,5,0.0,0.0,False,False
V0_passive,0.001,1.0,5,0.001,0.004990009995000988,False,False
V0_passive,0.002,1.0,5,0.002,0.009960079920032006,False,False
V0_passive,0.005,1.0,5,0.005,0.02475124687812502,False,False
V0_passive,0.01,1.0,5,0.01,0.04900995010000009,False,False
V0_passive,0.02,1.0,5,0.02,0.09607920320000007,False,False
V0_passive,0.05,1.0,5,0.05,0.22621906250000023,False,False
V0_passive,0.1,1.0,5,0.1,0.40950999999999993,False,False
V0_passive,0.2,1.0,5,0.2,0.6723199999999999,False,False
V0_passive,0.5,1.0,5,0.5,0.96875,False,False
V0_passive,1.0,1.0,5,1.0,1.0,True,True
V0_passive,0,1.0,10,0.0,0.0,False,False
V0_passive,0.001,1.0,10,0.001,0.009955119790251765,False,False
V0_passive,0.002,1.0,10,0.002,0.019820956648050614,False,False
V0_passive,0.005,1.0,10,0.005,0.048889869534228136,False,False
V0_passive,0.01,1.0,10,0.01,0.09561792499119559,False,False
V0_passive,0.02,1.0,10,0.02,0.1829271931124533,False,False
V0_passive,0.05,1.0,10,0.05,0.4012630607616213,False,False
V0_passive,0.1,1.0,10,0.1,0.6513215599,False,False
V0_passive,0.2,1.0,10,0.2,0.8926258175999999,False,False
V0_passive,0.5,1.0,10,0.5,0.9990234375,False,True
V0_passive,1.0,1.0,10,1.0,1.0,True,True
V0_passive,0,1.0,50,0.0,0.0,False,False
V0_passive,0.001,1.0,50,0.001,0.04879437180296864,False,False
V0_passive,0.002,1.0,50,0.002,0.09525318199596433,False,False
V0_passive,0.005,1.0,50,0.005,0.22168744293135811,False,False
V0_passive,0.01,1.0,50,0.01,0.39499393286246365,False,False
V0_passive,0.02,1.0,50,0.02,0.6358303199128832,False,False
V0_passive,0.05,1.0,50,0.05,0.9230550247232868,False,False
V0_passive,0.1,1.0,50,0.1,0.9948462247926799,False,True
V0_passive,0.2,1.0,50,0.2,0.9999857275230729,False,True
V0_passive,0.5,1.0,50,0.5,0.9999999999999991,False,True
V0_passive,1.0,1.0,50,1.0,1.0,True,True
V0_passive,0,1.0,100,0.0,0.0,False,False
V0_passive,0.001,1.0,100,0.001,0.09520785288629108,False,False
V0_passive,0.002,1.0,100,0.002,0.18143319531157232,False,False
V0_passive,0.005,1.0,100,0.005,0.3942295635092721,False,False
V0_passive,0.01,1.0,100,0.01,0.6339676587267709,False,False
V0_passive,0.02,1.0,100,0.02,0.8673804441052471,False,False
V0_passive,0.05,1.0,100,0.05,0.994079470779666,False,True
V0_passive,0.1,1.0,100,0.1,0.9999734386011124,False,True
V0_passive,0.2,1.0,100,0.2,0.9999999997962964,False,True
V0_passive,0.5,1.0,100,0.5,1.0,False,True
V0_passive,1.0,1.0,100,1.0,1.0,True,True
L1_prefill_local,0,0.5,1,0.0,0.0,False,False
L1_prefill_local,0.001,0.5,1,0.0005,0.0004999999999999449,False,False
L1_prefill_local,0.002,0.5,1,0.001,0.0010000000000000009,False,False
L1_prefill_local,0.005,0.5,1,0.0025,0.0024999999999999467,False,False
L1_prefill_local,0.01,0.5,1,0.005,0.0050000000000000044,False,False
L1_prefill_local,0.02,0.5,1,0.01,0.010000000000000009,False,False
L1_prefill_local,0.05,0.5,1,0.025,0.025000000000000022,False,False
L1_prefill_local,0.1,0.5,1,0.05,0.050000000000000044,False,False
L1_prefill_local,0.2,0.5,1,0.1,0.09999999999999998,False,False
L1_prefill_local,0.5,0.5,1,0.25,0.25,False,False
L1_prefill_local,1.0,0.5,1,0.5,0.5,False,False
L1_prefill_local,0,0.5,5,0.0,0.0,False,False
L1_prefill_local,0.001,0.5,5,0.0005,0.002497501249687284,False,False
L1_prefill_local,0.002,0.5,5,0.001,0.004990009995000988,False,False
L1_prefill_local,0.005,0.5,5,0.0025,0.012437656054784862,False,False
L1_prefill_local,0.01,0.5,5,0.005,0.02475124687812502,False,False
L1_prefill_local,0.02,0.5,5,0.01,0.04900995010000009,False,False
