mode_id,p_a,u,E_C_verify,cost_ratio_vs_duplicate,within_cost_cap
D0_duplicate,0.002,0.1,1.0,1.0,False
D0_duplicate,0.005,0.1,1.0,1.0,False
D0_duplicate,0.01,0.1,1.0,1.0,False
D0_duplicate,0.02,0.1,1.0,1.0,False
D0_duplicate,0.05,0.1,1.0,1.0,False
D0_duplicate,0.1,0.1,1.0,1.0,False
D0_duplicate,0.2,0.1,1.0,1.0,False
D0_duplicate,0.5,0.1,1.0,1.0,False
D0_duplicate,1.0,0.1,1.0,1.0,False
D0_duplicate,0,0.5,1.0,1.0,False
D0_duplicate,0.001,0.5,1.0,1.0,False
D0_duplicate,0.002,0.5,1.0,1.0,False
D0_duplicate,0.005,0.5,1.0,1.0,False
D0_duplicate,0.01,0.5,1.0,1.0,False
D0_duplicate,0.02,0.5,1.0,1.0,False
D0_duplicate,0.05,0.5,1.0,1.0,False
D0_duplicate,0.1,0.5,1.0,1.0,False
D0_duplicate,0.2,0.5,1.0,1.0,False
D0_duplicate,0.5,0.5,1.0,1.0,False
D0_duplicate,1.0,0.5,1.0,1.0,False
D0_duplicate,0,1.0,1.0,1.0,False
D0_duplicate,0.001,1.0,1.0,1.0,False
D0_duplicate,0.002,1.0,1.0,1.0,False
D0_duplicate,0.005,1.0,1.0,1.0,False
D0_duplicate,0.01,1.0,1.0,1.0,False
D0_duplicate,0.02,1.0,1.0,1.0,False
D0_duplicate,0.05,1.0,1.0,1.0,False
D0_duplicate,0.1,1.0,1.0,1.0,False
D0_duplicate,0.2,1.0,1.0,1.0,False
D0_duplicate,0.5,1.0,1.0,1.0,False
D0_duplicate,1.0,1.0,1.0,1.0,False
