prompt_id,checkpoint,N,K,rho,support,selected_candidate,candidate_portfolio,threshold,honest_fpr,adaptive_detection_rate,selection_detection_rate,honest_full_energy,attacked_full_energy,relative_l2,residual_dot,residual_cosine,median_estimator_relative_error,p90_estimator_relative_error,selection_draws,test_draws
eval_001,prefill__C2,16384,1,0.05,16,2,8,0.0001766681082722999,0.00390625,0.80859375,0.75,3.83204294507862e-05,0.0025383204294507867,0.05,8.673617379884035e-19,1.7103899372288981e-19,0.7859421848343318,1.5160869835661552,64,256
eval_001,prefill__C2,16384,2,0.05,16,1,8,0.00010513686014195438,0.03125,0.95703125,0.9375,3.83204294507862e-05,0.0025383204294507863,0.05,-3.2526065174565133e-19,-6.413962264608369e-20,0.6114375978359875,1.3028115200678303,64,256
eval_001,prefill__C2,16384,4,0.05,16,3,8,9.410888221565363e-05,0.02734375,0.99609375,0.984375,3.83204294507862e-05,0.0025383204294507863,0.05,4.336808689942018e-19,8.551949686144491e-20,0.39999060424196586,0.9144751342702421,64,256
eval_001,prefill__C2,16384,8,0.05,16,6,8,7.13787149786651e-05,0.03125,1.0,1.0,3.83204294507862e-05,0.0025383204294507863,0.05,4.336808689942018e-19,8.551949686144491e-20,0.3243110739482612,0.715672889081495,64,256
eval_001,prefill__C2,16384,16,0.05,16,6,8,6.400995418380497e-05,0.01171875,1.0,1.0,3.83204294507862e-05,0.0025383204294507863,0.05,4.336808689942018e-19,8.551949686144491e-20,0.2525533530656435,0.5156284273811125,64,256
eval_001,prefill__C2,16384,32,0.05,16,6,8,5.249335088790836e-05,0.02734375,1.0,1.0,3.83204294507862e-05,0.0025383204294507863,0.05,4.336808689942018e-19,8.551949686144491e-20,0.1560498702321137,0.4080821722758819,64,256
eval_001,prefill__C2,16384,64,0.05,16,3,8,5.0586824544253276e-05,0.015625,1.0,1.0,3.83204294507862e-05,0.0025383204294507863,0.05,4.336808689942018e-19,8.551949686144491e-20,0.10728579509606366,0.2767212188944422,64,256
eval_001,prefill__C2,16384,1,0.05,256,0,8,0.0001766681082722999,0.00390625,0.80078125,0.734375,3.83204294507862e-05,0.0025383204294507867,0.05,-6.938893903907228e-18,-1.3683119497831185e-18,0.8091977953916174,1.4311151830816606,64,256
eval_001,prefill__C2,16384,2,0.05,256,4,8,0.00010513686014195438,0.03125,0.9609375,0.9375,3.83204294507862e-05,0.002538320429450786,0.049999999999999996,-4.336808689942018e-19,-8.551949686144491e-20,0.6602169097627351,1.4201938091517137,64,256
eval_001,prefill__C2,16384,4,0.05,256,4,8,9.410888221565363e-05,0.02734375,1.0,1.0,3.83204294507862e-05,0.002538320429450786,0.049999999999999996,-4.336808689942018e-19,-8.551949686144491e-20,0.4567925822454139,0.928771875393773,64,256
eval_001,prefill__C2,16384,8,0.05,256,4,8,7.13787149786651e-05,0.03125,1.0,1.0,3.83204294507862e-05,0.002538320429450786,0.049999999999999996,-4.336808689942018e-19,-8.551949686144491e-20,0.3110216418334276,0.7539237470134139,64,256
eval_001,prefill__C2,16384,16,0.05,256,3,8,6.400995418380497e-05,0.01171875,1.0,1.0,3.83204294507862e-05,0.0025383204294507867,0.05,-2.168404344971009e-18,-4.2759748430722454e-19,0.23107938257643051,0.5644062276283908,64,256
eval_001,prefill__C2,16384,32,0.05,256,3,8,5.249335088790836e-05,0.02734375,1.0,1.0,3.83204294507862e-05,0.0025383204294507867,0.05,-2.168404344971009e-18,-4.2759748430722454e-19,0.16816930712305783,0.3983207542437927,64,256
eval_001,prefill__C2,16384,64,0.05,256,0,8,5.0586824544253276e-05,0.015625,1.0,1.0,3.83204294507862e-05,0.0025383204294507867,0.05,-6.938893903907228e-18,-1.3683119497831185e-18,0.12130955578076727,0.30365874235599133,64,256
