pair,variant,family,tol_mode,percentile,scale,calib_fpr,eval_hetero_fpr,eval_tamper_tpr,eval_tamper_locacc,tpr_gaussian,tpr_stale,tpr_wrong_prompt,tpr_scale,tpr_layer_skip,tpr_null_space,locacc_scale,locacc_layer_skip,locacc_null_space,ops_per_tensor,reads_per_tensor,ref_bytes_per_ckpt
A/D,projcos16,projcos,checkpoint_specific,99.0,1.5,0.0,0.09,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.38,0.0,1.0,1.0,262144,16384,1024
A/D,projscalar1_abs,projabs,checkpoint_specific,99.0,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,16384,16,64
A/D,SRR-32,srr,checkpoint_specific,99.0,0.5,0.0,0.025,1.0,1.0,1.0,0.71,0.71,0.0,0.955,0.81,0.0,1.0,1.0,160,32,64
A/D,SRR-64,srr,checkpoint_specific,99.0,0.5,0.0,0.075,1.0,1.0,1.0,0.835,0.835,0.0,0.99,0.785,0.0,1.0,1.0,320,64,128
A/D,SRR-128,srr,checkpoint_specific,99.0,0.5,0.0,0.085,1.0,1.0,1.0,0.945,0.945,0.0,1.0,0.995,0.0,1.0,1.0,640,128,256
B/D,scalar16,scalar,global_shared,99.99,1.5,0.1,0.295,1.0,1.0,1.0,0.95,0.95,0.555,1.0,0.0,1.0,1.0,0.0,32,16,64
B/D,scalar64,scalar,global_shared,99.99,2.0,0.55,0.55,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.015,1.0,1.0,1.0,128,64,256
B/D,projcos4,projcos,checkpoint_specific,99.0,1.5,0.0,0.095,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.54,0.0,1.0,1.0,65536,16384,256
B/D,projcos8,projcos,checkpoint_specific,99.0,1.5,0.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.545,0.0,1.0,1.0,131072,16384,512
B/D,projcos16,projcos,checkpoint_specific,99.0,1.5,0.0,0.06,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.51,0.0,1.0,1.0,262144,16384,1024
B/D,projscalar1_abs,projabs,checkpoint_specific,99.0,1.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,16384,16,64
B/D,SRR-32,srr,checkpoint_specific,99.0,0.5,0.0,0.015,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,160,32,64
B/D,SRR-64,srr,checkpoint_specific,99.0,0.5,0.0,0.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,320,64,128
B/D,SRR-128,srr,checkpoint_specific,99.0,1.0,0.0,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,640,128,256
