family,K,support,energy_ratio,threshold_calibrated_on_support_256,rate,calibration_draws,test_draws
qgauss4,2,1,1.0,4.576382202701749,0.00915,20000,20000
qgauss4,2,1,1.4,4.576382202701749,0.03225,20000,20000
qgauss4,2,1,2.0,4.576382202701749,0.0961,20000,20000
qgauss4,2,1,8.0,4.576382202701749,0.53115,20000,20000
qgauss4,4,1,1.0,3.2876748882242626,0.0106,20000,20000
qgauss4,4,1,1.4,3.2876748882242626,0.0541,20000,20000
qgauss4,4,1,2.0,3.2876748882242626,0.17725,20000,20000
qgauss4,4,1,8.0,3.2876748882242626,0.8282,20000,20000
qgauss4,8,1,1.0,2.4906954157568877,0.0097,20000,20000
qgauss4,8,1,1.4,2.4906954157568877,0.07065,20000,20000
qgauss4,8,1,2.0,2.4906954157568877,0.26385,20000,20000
qgauss4,8,1,8.0,2.4906954157568877,0.95225,20000,20000
qgauss4,16,1,1.0,1.973490066972717,0.0108,20000,20000
qgauss4,16,1,1.4,1.973490066972717,0.12005,20000,20000
qgauss4,16,1,2.0,1.973490066972717,0.4577,20000,20000
qgauss4,16,1,8.0,1.973490066972717,0.9991,20000,20000
qgauss4,32,1,1.0,1.6627063487769558,0.01135,20000,20000
qgauss4,32,1,1.4,1.6627063487769558,0.21885,20000,20000
qgauss4,32,1,2.0,1.6627063487769558,0.7324,20000,20000
qgauss4,32,1,8.0,1.6627063487769558,1.0,20000,20000
qgauss4,1,16,1.0,6.751898133249043,0.00745,20000,20000
qgauss4,1,16,1.4,6.751898133249043,0.02795,20000,20000
qgauss4,1,16,2.0,6.751898133249043,0.0698,20000,20000
qgauss4,1,16,8.0,6.751898133249043,0.3491,20000,20000
qgauss4,2,16,1.0,4.576382202701749,0.00955,20000,20000
qgauss4,2,16,1.4,4.576382202701749,0.0374,20000,20000
qgauss4,2,16,2.0,4.576382202701749,0.0943,20000,20000
qgauss4,2,16,8.0,4.576382202701749,0.5534,20000,20000
qgauss4,4,16,1.0,3.2876748882242626,0.0101,20000,20000
qgauss4,4,16,1.4,3.2876748882242626,0.0512,20000,20000
qgauss4,4,16,2.0,3.2876748882242626,0.1582,20000,20000
qgauss4,4,16,8.0,3.2876748882242626,0.8009,20000,20000
qgauss4,8,16,1.0,2.4906954157568877,0.0102,20000,20000
qgauss4,8,16,1.4,2.4906954157568877,0.07645,20000,20000
qgauss4,8,16,2.0,2.4906954157568877,0.2685,20000,20000
qgauss4,8,16,8.0,2.4906954157568877,0.96,20000,20000
qgauss4,16,16,1.0,1.973490066972717,0.01055,20000,20000
qgauss4,16,16,1.4,1.973490066972717,0.12535,20000,20000
qgauss4,16,16,2.0,1.973490066972717,0.4678,20000,20000
qgauss4,16,16,8.0,1.973490066972717,0.99875,20000,20000
qgauss4,32,16,1.0,1.6627063487769558,0.0101,20000,20000
qgauss4,32,16,1.4,1.6627063487769558,0.21255,20000,20000
qgauss4,32,16,2.0,1.6627063487769558,0.7307,20000,20000
qgauss4,32,16,8.0,1.6627063487769558,1.0,20000,20000
qgauss4,1,256,1.0,6.751898133249043,0.00955,20000,20000
qgauss4,1,256,1.4,6.751898133249043,0.03,20000,20000
qgauss4,1,256,2.0,6.751898133249043,0.0665,20000,20000
qgauss4,1,256,8.0,6.751898133249043,0.369,20000,20000
qgauss4,2,256,1.0,4.576382202701749,0.012,20000,20000
qgauss4,2,256,1.4,4.576382202701749,0.0411,20000,20000
qgauss4,2,256,2.0,4.576382202701749,0.10315,20000,20000
qgauss4,2,256,8.0,4.576382202701749,0.56585,20000,20000
qgauss4,4,256,1.0,3.2876748882242626,0.01035,20000,20000
qgauss4,4,256,1.4,3.2876748882242626,0.05235,20000,20000
qgauss4,4,256,2.0,3.2876748882242626,0.16275,20000,20000
qgauss4,4,256,8.0,3.2876748882242626,0.7991,20000,20000
qgauss4,8,256,1.0,2.4906954157568877,0.0111,20000,20000
qgauss4,8,256,1.4,2.4906954157568877,0.07875,20000,20000
qgauss4,8,256,2.0,2.4906954157568877,0.27205,20000,20000
qgauss4,8,256,8.0,2.4906954157568877,0.96245,20000,20000
qgauss4,16,256,1.0,1.973490066972717,0.01115,20000,20000
qgauss4,16,256,1.4,1.973490066972717,0.1265,20000,20000
qgauss4,16,256,2.0,1.973490066972717,0.4642,20000,20000
qgauss4,16,256,8.0,1.973490066972717,0.9989,20000,20000
qgauss4,32,256,1.0,1.6627063487769558,0.01015,20000,20000
qgauss4,32,256,1.4,1.6627063487769558,0.2122,20000,20000
qgauss4,32,256,2.0,1.6627063487769558,0.73865,20000,20000
qgauss4,32,256,8.0,1.6627063487769558,1.0,20000,20000
