split,candidate_run,prompt_id,checkpoint,N,reference_rms,full_residual_energy,full_residual_rms
evaluation,rerun,eval_009,prefill__C2,19456,45.34622213927171,1.4983837781127001e-05,0.003870896250369803
evaluation,rerun,eval_009,prefill__C3,19456,3.276714069501071,0.0002661622690187168,0.01631448034779891
evaluation,rerun,eval_010,prefill__C1,15360,58.27674640362444,1.4380636669794436e-05,0.003792180991170442
evaluation,rerun,eval_010,prefill__C2,15360,58.30583183145182,1.4693112789338485e-05,0.003833159635253727
evaluation,rerun,eval_010,prefill__C3,15360,3.2335193100776296,0.00026324697410630204,0.016224887491329547
evaluation,rerun,eval_011,prefill__C1,12288,59.336270118222075,3.785422800755251e-05,0.006152578972069559
evaluation,rerun,eval_011,prefill__C2,12288,59.36495612859242,3.8124944597558914e-05,0.006174540031254062
evaluation,rerun,eval_011,prefill__C3,12288,3.2068938025942666,0.00019551136386636073,0.013982537819235846
evaluation,rerun,eval_012,prefill__C1,13312,52.8154709332832,1.4604595944408479e-05,0.0038215959943992614
evaluation,rerun,eval_012,prefill__C2,13312,52.84731323797214,1.4996458845538266e-05,0.0038725261581477105
evaluation,rerun,eval_012,prefill__C3,13312,3.226534952529438,0.00021942644811601171,0.014813049926197228
