run_id,mode,payload_mb,group_size,concurrency,provider_id,replicate_id,content_hash,object_key,t0_start_ms,t1_encrypt_done_ms,t2_publish_done_ms,t3_access_sent_ms,t4_first_ready_ms,t5_all_ready_ms,encrypt_ms,requester_egress_mb,store_egress_mb,provider_fetch_ms,access_pkg_bytes,success,notes
live_rpd_100_1_024,RPD,100,1,1,ALL,24,be724390d1a6fab63acc548ee7a15878117a02b1c215d3ab32b3df3ab86440da,sha256-be724390d1a6fab63acc548ee7a15878117a02b1c215d3ab32b3df3ab86440da,0.0,921.362583,,1005.988,1005.988,1005.988,10.341625,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_025,RPD,100,1,1,ALL,25,60912c9c692eba11baa748b8f36d8becdb54cf6c87cdf70f507a0eba9309d3b7,sha256-60912c9c692eba11baa748b8f36d8becdb54cf6c87cdf70f507a0eba9309d3b7,0.0,908.6005,,993.041917,993.041917,993.041917,10.20475,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_026,RPD,100,1,1,ALL,26,1e61d5291ef2730fb6b568a8200b043c8c898878e08387cbd906f5504cb32a42,sha256-1e61d5291ef2730fb6b568a8200b043c8c898878e08387cbd906f5504cb32a42,0.0,916.559834,,1001.985209,1001.985209,1001.985209,10.221042,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_027,RPD,100,1,1,ALL,27,c10865032f68d41377ffb7a47083e04cceb4a9b4e3e97d48d4b5b02315b18fc6,sha256-c10865032f68d41377ffb7a47083e04cceb4a9b4e3e97d48d4b5b02315b18fc6,0.0,900.949542,,985.1135,985.1135,985.1135,10.206334,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_028,RPD,100,1,1,ALL,28,66ec0c376d72ad4378d394f1e15a7011126c96852e0e4080da02a18c3fa196a9,sha256-66ec0c376d72ad4378d394f1e15a7011126c96852e0e4080da02a18c3fa196a9,0.0,899.90875,,984.878,984.878,984.878,10.224542,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_029,RPD,100,1,1,ALL,29,30c77fd5bd96feed910103c104255e9629a7c99b4d8b620e4976a85dab2a6240,sha256-30c77fd5bd96feed910103c104255e9629a7c99b4d8b620e4976a85dab2a6240,0.0,890.932042,,974.425042,974.425042,974.425042,10.190709,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_1_030,RPD,100,1,1,ALL,30,8ce3b8957d477f824bccc778f819b807b5e1a1ea03749435c9048da94733d7d5,sha256-8ce3b8957d477f824bccc778f819b807b5e1a1ea03749435c9048da94733d7d5,0.0,912.019167,,995.843042,995.843042,995.843042,10.33325,100.000016,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_001,RPD,100,2,2,ALL,1,d2ca924c1f88afdb9a8b21006aa71c87ae29bad28a79bc5a8b9e8d31d58d9f91,sha256-d2ca924c1f88afdb9a8b21006aa71c87ae29bad28a79bc5a8b9e8d31d58d9f91,0.0,899.240042,,987.441542,987.441542,987.441542,10.169542,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_002,RPD,100,2,2,ALL,2,337daed678e1dfa587c5d777878bba9f92f3babf9f70aefcc0e21dd4d3c84c38,sha256-337daed678e1dfa587c5d777878bba9f92f3babf9f70aefcc0e21dd4d3c84c38,0.0,901.293416,,990.109708,990.109708,990.109708,10.258459,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_003,RPD,100,2,2,ALL,3,9a80d4bff4b379d9b598d245f724969f67142ce0c3b4dd6576d01ef1be83e9bc,sha256-9a80d4bff4b379d9b598d245f724969f67142ce0c3b4dd6576d01ef1be83e9bc,0.0,903.420458,,991.146416,991.146416,991.146416,10.121041,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_004,RPD,100,2,2,ALL,4,42096e0c95d07376bf17f5ac0178bedcf15a2bc793b2ceb31f158b55b249fc60,sha256-42096e0c95d07376bf17f5ac0178bedcf15a2bc793b2ceb31f158b55b249fc60,0.0,914.428,,1003.753625,1003.753625,1003.753625,10.1425,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_005,RPD,100,2,2,ALL,5,1e35dbcd491998fdab1972dfc87a0a486d0b59c18921cd151b56bc5df2f4dafc,sha256-1e35dbcd491998fdab1972dfc87a0a486d0b59c18921cd151b56bc5df2f4dafc,0.0,900.119792,,987.692708,987.692708,987.692708,10.277375,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_006,RPD,100,2,2,ALL,6,7cdab23e5a0db26875eca0d9030c0eabb75fd0684817e51c6bd78ff5100a3c25,sha256-7cdab23e5a0db26875eca0d9030c0eabb75fd0684817e51c6bd78ff5100a3c25,0.0,913.959792,,1001.740458,1001.740458,1001.740458,10.159458,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_007,RPD,100,2,2,ALL,7,a5404b6484d509fb27d86d508eaaa2904f93c6cf52ad04633a1e64bff4ef598c,sha256-a5404b6484d509fb27d86d508eaaa2904f93c6cf52ad04633a1e64bff4ef598c,0.0,912.768042,,1000.777,1000.777,1000.777,10.208125,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_008,RPD,100,2,2,ALL,8,6a0a61aa9aa39988caefdd10ce5751efd01ba8c11282d2149857a29c88df9a56,sha256-6a0a61aa9aa39988caefdd10ce5751efd01ba8c11282d2149857a29c88df9a56,0.0,910.230625,,997.343083,997.343083,997.343083,10.205708,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_009,RPD,100,2,2,ALL,9,1623c5a99c8de8f29bcac7a9bb7ed74ba39803d9977de1856203ab7a81365867,sha256-1623c5a99c8de8f29bcac7a9bb7ed74ba39803d9977de1856203ab7a81365867,0.0,909.156875,,997.09725,997.09725,997.09725,10.374916,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
live_rpd_100_2_010,RPD,100,2,2,ALL,10,30a542a1b290ff5850b1d43c7526e52dbf26d74a9b953e5dbb8827a1e57bd444,sha256-30a542a1b290ff5850b1d43c7526e52dbf26d74a9b953e5dbb8827a1e57bd444,0.0,925.569334,,1013.003875,1013.003875,1013.003875,14.179833,200.000032,0.0,,0,1,fresh_ciphertext;fresh_content_hash;rpd_parallel_provider_copy
