run_id,scheme,network,k,payload_mb,requester_egress_mb,publication_ms,access_package_ms,provider_fetch_ms,all_ready_ms,notes
lan_rpd_100_4_019,RPD,LAN,4,100,400.000064,0.0,3416.308633,0.0,3416.308633,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_020,RPD,LAN,4,100,400.000064,0.0,3416.298753,0.0,3416.298753,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_021,RPD,LAN,4,100,400.000064,0.0,3415.771566,0.0,3415.771566,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_022,RPD,LAN,4,100,400.000064,0.0,3416.750761,0.0,3416.750761,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_023,RPD,LAN,4,100,400.000064,0.0,3417.766154,0.0,3417.766154,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_024,RPD,LAN,4,100,400.000064,0.0,3416.880039,0.0,3416.880039,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_025,RPD,LAN,4,100,400.000064,0.0,3420.138118,0.0,3420.138118,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_026,RPD,LAN,4,100,400.000064,0.0,3420.607876,0.0,3420.607876,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_027,RPD,LAN,4,100,400.000064,0.0,3416.037648,0.0,3416.037648,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_028,RPD,LAN,4,100,400.000064,0.0,3416.003615,0.0,3416.003615,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_029,RPD,LAN,4,100,400.000064,0.0,3416.297274,0.0,3416.297274,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_4_030,RPD,LAN,4,100,400.000064,0.0,3418.524806,0.0,3418.524806,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_001,RPD,LAN,8,100,800.000128,0.0,6820.192564,0.0,6820.192564,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_002,RPD,LAN,8,100,800.000128,0.0,6822.513578,0.0,6822.513578,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_003,RPD,LAN,8,100,800.000128,0.0,6820.041903,0.0,6820.041903,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_004,RPD,LAN,8,100,800.000128,0.0,6822.528835,0.0,6822.528835,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_005,RPD,LAN,8,100,800.000128,0.0,6822.87598,0.0,6822.87598,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_006,RPD,LAN,8,100,800.000128,0.0,6820.155028,0.0,6820.155028,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_007,RPD,LAN,8,100,800.000128,0.0,6822.463715,0.0,6822.463715,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_008,RPD,LAN,8,100,800.000128,0.0,6822.775561,0.0,6822.775561,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_009,RPD,LAN,8,100,800.000128,0.0,6820.217554,0.0,6820.217554,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_010,RPD,LAN,8,100,800.000128,0.0,6820.51023,0.0,6820.51023,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_011,RPD,LAN,8,100,800.000128,0.0,6820.411776,0.0,6820.411776,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_012,RPD,LAN,8,100,800.000128,0.0,6820.30286,0.0,6820.30286,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_013,RPD,LAN,8,100,800.000128,0.0,6820.729023,0.0,6820.729023,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_014,RPD,LAN,8,100,800.000128,0.0,6820.113772,0.0,6820.113772,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_015,RPD,LAN,8,100,800.000128,0.0,6821.485874,0.0,6821.485874,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_016,RPD,LAN,8,100,800.000128,0.0,6820.833386,0.0,6820.833386,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_017,RPD,LAN,8,100,800.000128,0.0,6822.50991,0.0,6822.50991,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_018,RPD,LAN,8,100,800.000128,0.0,6823.055908,0.0,6823.055908,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_019,RPD,LAN,8,100,800.000128,0.0,6822.092404,0.0,6822.092404,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_020,RPD,LAN,8,100,800.000128,0.0,6820.855339,0.0,6820.855339,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_021,RPD,LAN,8,100,800.000128,0.0,6821.085807,0.0,6821.085807,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_022,RPD,LAN,8,100,800.000128,0.0,6819.99563,0.0,6819.99563,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_023,RPD,LAN,8,100,800.000128,0.0,6820.022599,0.0,6820.022599,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_024,RPD,LAN,8,100,800.000128,0.0,6820.321941,0.0,6820.321941,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_025,RPD,LAN,8,100,800.000128,0.0,6820.185551,0.0,6820.185551,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_026,RPD,LAN,8,100,800.000128,0.0,6820.231898,0.0,6820.231898,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_027,RPD,LAN,8,100,800.000128,0.0,6820.367248,0.0,6820.367248,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_028,RPD,LAN,8,100,800.000128,0.0,6821.892672,0.0,6821.892672,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_029,RPD,LAN,8,100,800.000128,0.0,6820.11636,0.0,6820.11636,fresh_unique_id;calibrated_delivery_path
lan_rpd_100_8_030,RPD,LAN,8,100,800.000128,0.0,6820.227667,0.0,6820.227667,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_001,PPD,LAN,1,100,100.000594,863.615263,865.620183,853.947863,1719.568045,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_002,PPD,LAN,1,100,100.000594,863.859384,865.864303,853.333899,1719.198202,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_003,PPD,LAN,1,100,100.000594,863.59829,865.603209,853.235007,1718.838216,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_004,PPD,LAN,1,100,100.000594,863.653745,865.715662,854.907168,1720.62283,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_005,PPD,LAN,1,100,100.000594,863.050388,865.31446,855.778639,1721.093099,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_006,PPD,LAN,1,100,100.000594,864.011256,866.15343,855.015826,1721.169255,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_007,PPD,LAN,1,100,100.000594,863.785052,865.824857,853.063966,1718.888823,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_008,PPD,LAN,1,100,100.000594,863.037814,865.064601,853.063966,1718.128567,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_009,PPD,LAN,1,100,100.000594,862.800984,864.898953,853.063966,1717.962919,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_010,PPD,LAN,1,100,100.000594,864.237797,866.242716,853.674079,1719.916796,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_011,PPD,LAN,1,100,100.000594,864.388186,866.393105,853.063966,1719.457071,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_012,PPD,LAN,1,100,100.000594,862.92354,864.928459,853.063966,1717.992425,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_013,PPD,LAN,1,100,100.000594,866.664912,868.669831,853.063966,1721.733797,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_014,PPD,LAN,1,100,100.000594,862.64966,864.853472,854.148406,1719.001878,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_015,PPD,LAN,1,100,100.000594,864.777676,866.782595,853.081359,1719.863954,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_016,PPD,LAN,1,100,100.000594,862.613768,864.746559,854.718804,1719.465364,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_017,PPD,LAN,1,100,100.000594,862.664737,864.795532,853.925005,1718.720537,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_018,PPD,LAN,1,100,100.000594,863.02614,865.031059,853.063966,1718.095025,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_019,PPD,LAN,1,100,100.000594,863.255416,865.505373,853.063966,1718.569339,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_020,PPD,LAN,1,100,100.000594,862.884102,864.889021,853.063966,1717.952987,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_021,PPD,LAN,1,100,100.000594,862.621562,864.6304,855.277582,1719.907982,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_022,PPD,LAN,1,100,100.000594,863.970072,865.974991,853.063966,1719.038957,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_023,PPD,LAN,1,100,100.000594,864.83751,866.842429,854.929104,1721.771533,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_024,PPD,LAN,1,100,100.000594,864.794707,866.941004,853.273245,1720.214248,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_025,PPD,LAN,1,100,100.000594,862.923698,864.936504,853.082422,1718.018926,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_026,PPD,LAN,1,100,100.000594,863.512161,865.51708,853.063966,1718.581046,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_027,PPD,LAN,1,100,100.000594,864.611215,866.616135,853.063966,1719.680101,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_028,PPD,LAN,1,100,100.000594,866.711919,868.716838,853.063966,1721.780804,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_029,PPD,LAN,1,100,100.000594,864.478636,866.483555,853.063966,1719.547521,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_1_030,PPD,LAN,1,100,100.000594,863.851906,865.858341,853.063966,1718.922307,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_001,PPD,LAN,2,100,100.001172,865.41045,867.420288,853.421325,1720.841613,fresh_unique_id;calibrated_delivery_path
