K,rho,support,pairs,mean_honest_fpr,mean_adaptive_detection_rate,min_adaptive_detection_rate,mean_selection_detection_rate,median_estimator_relative_error,max_abs_residual_cosine
8,0.02,1,6,0.049723307291666664,0.6917724609375,0.09423828125,0.6725260416666666,0.3340053783250136,1.716934452958606e-05
8,0.02,16,6,0.049723307291666664,0.6918131510416666,0.09228515625,0.6731770833333334,0.33988155037358997,1.1660426877820253e-18
8,0.02,256,6,0.049723307291666664,0.6879069010416666,0.084228515625,0.6744791666666666,0.34082513465255176,4.0811494072370884e-18
8,0.05,1,6,0.049723307291666664,0.9903157552083334,0.96728515625,0.984375,0.33712540395075924,3.220006770856466e-05
8,0.05,16,6,0.049723307291666664,0.9907633463541666,0.968994140625,0.9876302083333334,0.33189475590148,4.05557691943355e-19
8,0.05,256,6,0.049723307291666664,0.9913736979166666,0.973388671875,0.9837239583333334,0.3370819929525511,3.0077407699949395e-18
16,0.01,1,6,0.07275390625,0.5496012369791666,0.0,0.5182291666666666,0.3177455459013147,3.000060044026237e-05
16,0.01,16,6,0.07275390625,0.5503743489583334,0.0,0.525390625,0.3164631379500988,5.830213438910127e-19
16,0.01,256,6,0.07275390625,0.5483805338541666,0.0,0.5266927083333334,0.32007120443309556,4.511611154992409e-18
16,0.02,1,6,0.07275390625,0.712890625,0.13818359375,0.6953125,0.23747887086954603,5.530356872167224e-05
16,0.02,16,6,0.07275390625,0.7121988932291666,0.13134765625,0.7005208333333334,0.24184992312017406,6.376775515777069e-18
16,0.02,256,6,0.07275390625,0.7121988932291666,0.13330078125,0.6998697916666666,0.2425021495167669,2.5655849058433474e-18
16,0.05,1,6,0.07275390625,0.9996744791666666,0.998779296875,0.998046875,0.23696375446160262,3.220006770856466e-05
16,0.05,16,6,0.07275390625,0.9998779296875,0.999267578125,0.9993489583333334,0.23607980832884637,4.436017750105787e-19
16,0.05,256,6,0.07275390625,0.9997965494791666,0.9990234375,0.9986979166666666,0.2432548948326584,4.140283233432068e-18
32,0.01,1,6,0.1044921875,0.6443684895833334,0.0,0.63671875,0.29261107261534447,2.9952628447218497e-05
32,0.01,16,6,0.1044921875,0.6435139973958334,0.0,0.6315104166666666,0.2905963873487973,1.2673677873229843e-18
32,0.01,256,6,0.1044921875,0.644775390625,0.0,0.6341145833333334,0.29383960496214934,1.1660426877820253e-18
32,0.02,1,6,0.1044921875,0.7384847005208334,0.214599609375,0.7220052083333334,0.17979089306615295,5.002951460928734e-05
32,0.02,16,6,0.1044921875,0.7410481770833334,0.220703125,0.7265625,0.17707101611840095,6.376775515777069e-18
32,0.02,256,6,0.1044921875,0.7383219401041666,0.210205078125,0.7213541666666666,0.17807135138043145,2.4437893756208883e-18
32,0.05,1,6,0.1044921875,1.0,1.0,1.0,0.17051003503279333,5.4792923452660436e-05
32,0.05,16,6,0.1044921875,1.0,1.0,1.0,0.1704723042268097,9.611371791895871e-19
32,0.05,256,6,0.1044921875,1.0,1.0,1.0,0.1708511228667013,3.0077407699949395e-18
64,0.01,1,6,0.1400146484375,0.6663411458333334,0.0,0.6640625,0.28397768143338287,1.697017105649269e-05
64,0.01,16,6,0.1400146484375,0.666259765625,0.0,0.6647135416666666,0.2826290206345895,1.2673677873229843e-18
64,0.01,256,6,0.1400146484375,0.6663004557291666,0.0,0.6647135416666666,0.2827447136998671,4.511611154992409e-18
64,0.02,1,6,0.1400146484375,0.7668050130208334,0.288818359375,0.7486979166666666,0.1334718746702543,1.716934452958606e-05
64,0.02,16,6,0.1400146484375,0.7657470703125,0.293212890625,0.74609375,0.13586164586812086,6.376775515777069e-18
64,0.02,256,6,0.1400146484375,0.7632649739583334,0.289306640625,0.7454427083333334,0.13388826442051618,3.0077407699949395e-18
64,0.05,1,6,0.1400146484375,1.0,1.0,1.0,0.12209801003381834,4.846523466813024e-05
64,0.05,16,6,0.1400146484375,1.0,1.0,1.0,0.12263525351755353,1.290145217005277e-18
64,0.05,256,6,0.1400146484375,1.0,1.0,1.0,0.12052307008972496,2.838903843603485e-18
