prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,final_relative_residual,delta_residual_cosine,cosine_after_attack
eval_001,prefill__C1,16384,128,0.0,honest,0,,combined,0.01171875,0.0,0.006155069813723601,0.0,0.9999927276506787
eval_001,prefill__C1,16384,128,0.01,fixed_diffuse,16384,0.001953125,spike,0.01171875,0.01,0.011742439457447141,4.582703322904162e-18,0.999942139991039
eval_001,prefill__C1,16384,128,0.01,fixed_diffuse,16384,0.001953125,energy,0.01171875,0.01,0.011742439457447141,4.582703322904162e-18,0.999942139991039
eval_001,prefill__C1,16384,128,0.01,fixed_diffuse,16384,0.001953125,directional,0.00927734375,0.01,0.011742439457447141,4.582703322904162e-18,0.999942139991039
eval_001,prefill__C1,16384,128,0.01,fixed_diffuse,16384,0.001953125,combined,0.01171875,0.01,0.011742439457447141,4.582703322904162e-18,0.999942139991039
eval_001,prefill__C1,16384,128,0.01,fixed_directional,16371,1.0,spike,0.01171875,0.009999999999999998,0.01174243945744714,-2.1233640029878523e-18,0.9999424538820826
eval_001,prefill__C1,16384,128,0.01,fixed_directional,16371,1.0,energy,0.01171875,0.009999999999999998,0.01174243945744714,-2.1233640029878523e-18,0.9999424538820826
eval_001,prefill__C1,16384,128,0.01,fixed_directional,16371,1.0,directional,1.0,0.009999999999999998,0.01174243945744714,-2.1233640029878523e-18,0.9999424538820826
eval_001,prefill__C1,16384,128,0.01,fixed_directional,16371,1.0,combined,1.0,0.009999999999999998,0.01174243945744714,-2.1233640029878523e-18,0.9999424538820826
eval_001,prefill__C1,16384,128,0.01,fixed_sparse16,16,0.001953125,spike,0.01171875,0.01,0.011742439457447143,-8.063407606282983e-20,0.9999422375854392
eval_001,prefill__C1,16384,128,0.01,fixed_sparse16,16,0.001953125,energy,0.01171875,0.01,0.011742439457447143,-8.063407606282983e-20,0.9999422375854392
eval_001,prefill__C1,16384,128,0.01,fixed_sparse16,16,0.001953125,directional,0.01220703125,0.01,0.011742439457447143,-8.063407606282983e-20,0.9999422375854392
eval_001,prefill__C1,16384,128,0.01,fixed_sparse16,16,0.001953125,combined,0.0126953125,0.01,0.011742439457447143,-8.063407606282983e-20,0.9999422375854392
eval_001,prefill__C1,16384,128,0.01,adaptive_joint,16384,0.0,spike,0.0,0.00999999710444207,0.011742437206479371,4.1002388237267266e-08,0.9999368807602934
