prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,cosine_after_attack
eval_001,prefill__C1,16384,128,0.02,fixed_sparse16,16,0.107421875,spike,0.12939453125,0.02,0.9997918474421935
eval_001,prefill__C1,16384,128,0.02,fixed_sparse16,16,0.107421875,energy,0.12939453125,0.02,0.9997918474421935
eval_001,prefill__C1,16384,128,0.02,fixed_sparse16,16,0.107421875,directional,0.12255859375,0.02,0.9997918474421935
eval_001,prefill__C1,16384,128,0.02,fixed_sparse16,16,0.107421875,combined,0.12939453125,0.02,0.9997918474421935
eval_001,prefill__C1,16384,128,0.02,adaptive_joint,16384,0.01953125,spike,0.01171875,0.020000001372178736,0.9997906035912401
eval_001,prefill__C1,16384,128,0.02,adaptive_joint,16384,0.01953125,energy,0.01171875,0.020000001372178736,0.9997906035912401
eval_001,prefill__C1,16384,128,0.02,adaptive_joint,16384,0.01953125,directional,0.02783203125,0.020000001372178736,0.9997906035912401
eval_001,prefill__C1,16384,128,0.02,adaptive_joint,16384,0.01953125,combined,0.0322265625,0.020000001372178736,0.9997906035912401
eval_001,prefill__C1,16384,128,0.05,fixed_diffuse,16384,1.0,spike,0.01171875,0.05000000000000002,0.9987322323020023
eval_001,prefill__C1,16384,128,0.05,fixed_diffuse,16384,1.0,energy,1.0,0.05000000000000002,0.9987322323020023
eval_001,prefill__C1,16384,128,0.05,fixed_diffuse,16384,1.0,directional,0.34814453125,0.05000000000000002,0.9987322323020023
eval_001,prefill__C1,16384,128,0.05,fixed_diffuse,16384,1.0,combined,1.0,0.05000000000000002,0.9987322323020023
eval_001,prefill__C1,16384,128,0.05,fixed_directional,16371,1.0,spike,0.01171875,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,128,0.05,fixed_directional,16371,1.0,energy,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,128,0.05,fixed_directional,16371,1.0,directional,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,128,0.05,fixed_directional,16371,1.0,combined,1.0,0.050000000000000044,0.9987412609462031
eval_001,prefill__C1,16384,128,0.05,fixed_sparse16,16,0.119140625,spike,0.130859375,0.05000000000000001,0.9987314636298289
eval_001,prefill__C1,16384,128,0.05,fixed_sparse16,16,0.119140625,energy,0.130859375,0.05000000000000001,0.9987314636298289
eval_001,prefill__C1,16384,128,0.05,fixed_sparse16,16,0.119140625,directional,0.12890625,0.05000000000000001,0.9987314636298289
