threat_model,attack_family,rho,boundary,detector,n_eval,threshold_gamma,tpr_at_1fpr,eval_fpr,evaded_rate,harmful_evasion_rate,harm_proxy_mean,localization_acc,tpr_ci_lo,tpr_ci_hi,rho_eff
TM1b_knownP,tol_hug_combined,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.644231,0.038728,0.75,0.007816,0.030061,0.001651
TM1b_knownP,tol_hug_combined,0.002,C3,SignRadial,520,0.008965,0.011538,0.009615,0.988462,0.636538,0.038728,0.5,0.005299,0.024942,0.001651
TM1b_knownP,tol_hug_combined,0.005,C3,Combined,520,0.9900995,0.015385,0.009615,0.984615,0.823077,0.09608,0.75,0.007816,0.030061,0.0041
TM1b_knownP,tol_hug_combined,0.005,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.830769,0.09608,0.75,0.007816,0.030061,0.0041
TM1b_knownP,tol_hug_combined,0.005,C3,SignRadial,520,0.008965,0.019231,0.009615,0.980769,0.815385,0.09608,0.7,0.010479,0.035034,0.0041
TM1b_knownP,tol_hug_combined,0.01,C3,Combined,520,0.9900995,0.026923,0.009615,0.973077,0.826923,0.177055,0.857143,0.016104,0.04468,0.007523
TM1b_knownP,tol_hug_combined,0.01,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.846154,0.177055,0.75,0.007816,0.030061,0.007523
TM1b_knownP,tol_hug_combined,0.01,C3,SignRadial,520,0.008965,0.030769,0.009615,0.969231,0.819231,0.177055,0.8125,0.019027,0.049394,0.007523
TM1b_knownP,tol_hug_combined,0.02,C3,Combined,520,0.9900995,0.046154,0.009615,0.953846,0.809615,0.224247,0.916667,0.031209,0.067755,0.009332
TM1b_knownP,tol_hug_combined,0.02,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.848077,0.224247,0.75,0.007816,0.030061,0.009332
TM1b_knownP,tol_hug_combined,0.02,C3,SignRadial,520,0.008965,0.069231,0.009615,0.930769,0.782692,0.224247,0.916667,0.050423,0.094356,0.009332
TM1b_knownP,tol_hug_combined,0.05,C3,Combined,520,0.9900995,0.048077,0.009615,0.951923,0.805769,0.228333,0.92,0.032774,0.070008,0.009461
TM1b_knownP,tol_hug_combined,0.05,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.846154,0.228333,0.75,0.007816,0.030061,0.009461
TM1b_knownP,tol_hug_combined,0.05,C3,SignRadial,520,0.008965,0.069231,0.009615,0.930769,0.780769,0.228333,0.916667,0.050423,0.094356,0.009461
TM1b_knownP,tol_hug_combined,0.1,C3,Combined,520,0.9900995,0.048077,0.009615,0.951923,0.803846,0.228024,0.92,0.032774,0.070008,0.009449
TM1b_knownP,tol_hug_combined,0.1,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.844231,0.228024,0.75,0.007816,0.030061,0.009449
TM1b_knownP,tol_hug_combined,0.1,C3,SignRadial,520,0.008965,0.069231,0.009615,0.930769,0.778846,0.228024,0.916667,0.050423,0.094356,0.009449
TM1b_knownP,tol_hug_projcos,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.778846,0.04682,0.6,0.004114,0.022309,0.001965
TM1b_knownP,tol_hug_projcos,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.780769,0.04682,0.75,0.007816,0.030061,0.001965
TM1b_knownP,tol_hug_projcos,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.769231,0.04682,0.571429,0.006536,0.027523,0.001965
TM1b_knownP,tol_hug_projcos,0.005,C3,Combined,520,0.9900995,0.015385,0.009615,0.984615,0.971154,0.116854,0.75,0.007816,0.030061,0.004909
TM1b_knownP,tol_hug_projcos,0.005,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.978846,0.116854,0.75,0.007816,0.030061,0.004909
TM1b_knownP,tol_hug_projcos,0.005,C3,SignRadial,520,0.008965,0.021154,0.009615,0.978846,0.961538,0.116854,0.727273,0.011852,0.037478,0.004909
TM1b_knownP,tol_hug_projcos,0.01,C3,Combined,520,0.9900995,0.030769,0.009615,0.969231,0.955769,0.231463,0.875,0.019027,0.049394,0.009739
TM1b_knownP,tol_hug_projcos,0.01,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.978846,0.231463,0.75,0.007816,0.030061,0.009739
TM1b_knownP,tol_hug_projcos,0.01,C3,SignRadial,520,0.008965,0.036538,0.009615,0.963462,0.946154,0.231463,0.842105,0.023514,0.05636,0.009739
TM1b_knownP,tol_hug_projcos,0.02,C3,Combined,520,0.9900995,0.111538,0.009615,0.888462,0.875,0.401004,0.965517,0.08728,0.141495,0.016763
TM1b_knownP,tol_hug_projcos,0.02,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.978846,0.401004,0.75,0.007816,0.030061,0.016763
TM1b_knownP,tol_hug_projcos,0.02,C3,SignRadial,520,0.008965,0.138462,0.009615,0.861538,0.844231,0.401004,0.944444,0.111417,0.170808,0.016763
TM1b_knownP,tol_hug_projcos,0.05,C3,Combined,520,0.9900995,0.130769,0.009615,0.869231,0.855769,0.455708,0.970588,0.104479,0.162475,0.018772
TM1b_knownP,tol_hug_projcos,0.05,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.978846,0.455708,0.75,0.007816,0.030061,0.018772
